Scientific Name                              ,PLANTS Floristic Area,State and Province,Category,Duration,Growth Habit,Native Status,Active Growth Period,After Harvest Regrowth Rate,Bloom Period
Allium cernuum var. cernuum,"NA (L48, CAN)","CAN(AB, BC, ON, SK), USA(AL, AR, CO, DC, GA, IA, ID, IL, IN, KY, MD, MI, MN, MO, MS, MT, NC, NE, NY, OH, OR, PA, SC, SD, TN, TX, UT, VA, WA, WI, WV, WY)",Monocot,Perennial,Forb/herb,L48(N)CAN(N),,,
Allium cernuum var. neomexicanum,NA (L48),"USA(AZ, NM, TX)",Monocot,Perennial,Forb/herb,L48(N),,,
Allium cernuum var. obtusum,"NA (L48, CAN)","CAN(SK), USA(AZ, CO, MT, NM, WA, WY)",Monocot,Perennial,Forb/herb,L48(N)CAN(N),,,
Allium chinense,,,Monocot,,,,,,
Allium columbianum,NA (L48),"USA(ID, MT, WA)",Monocot,Perennial,Forb/herb,L48(N),,,
Allium constrictum,NA (L48),USA(WA),Monocot,Perennial,Forb/herb,L48(N),,,
Allium coryi,NA (L48),USA(TX),Monocot,Perennial,Forb/herb,L48(N),,,
Allium cratericola,NA (L48),USA(CA),Monocot,Perennial,Forb/herb,L48(N),,,
Allium crenulatum,"NA (L48, CAN)","CAN(BC), USA(OR, WA)",Monocot,Perennial,Forb/herb,L48(N)CAN(N),,,
Allium crispum,NA (L48),USA(CA),Monocot,Perennial,Forb/herb,L48(N),,,
Allium cuthbertii,NA (L48),"USA(AL, FL, GA, NC, SC)",Monocot,Perennial,Forb/herb,L48(N),,,
Allium denticulatum,NA (L48),USA(CA),Monocot,Perennial,Forb/herb,L48(N),,,
Allium diabolense,NA (L48),USA(CA),Monocot,Perennial,Forb/herb,L48(N),,,
Allium dichlamydeum,NA (L48),USA(CA),Monocot,Perennial,Forb/herb,L48(N),,,
Allium dictuon,NA (L48),"USA(OR, WA)",Monocot,Perennial,Forb/herb,L48(N),,,
Allium douglasii,NA (L48),"USA(ID, OR, WA)",Monocot,Perennial,Forb/herb,L48(N),Spring,Slow,Late Spring
Allium drummondii,NA (L48),"USA(AR, KS, NE, NM, OK, SD, TX)",Monocot,Perennial,Forb/herb,L48(N),,,
Allium elmendorfii,NA (L48),USA(TX),Monocot,Perennial,Forb/herb,L48(N),,,
Allium falcifolium,NA (L48),"USA(CA, OR)",Monocot,Perennial,Forb/herb,L48(N),,,
Allium fibrillum,NA (L48),"USA(ID, MT, OR, WA)",Monocot,Perennial,Forb/herb,L48(N),,,
Allium fimbriatum,NA (L48),USA(CA),Monocot,Perennial,Forb/herb,L48(N),,,
Allium fimbriatum var. fimbriatum,NA (L48),USA(CA),Monocot,Perennial,Forb/herb,L48(N),,,
Allium fimbriatum var. mohavense,NA (L48),USA(CA),Monocot,Perennial,Forb/herb,L48(N),,,
Allium fimbriatum var. purdyi,NA (L48),USA(CA),Monocot,Perennial,Forb/herb,L48(N),,,
Allium fistulosum,"NA (L48, AK, CAN)","CAN(NT), USA(AK, IL, VT)",Monocot,Perennial,Forb/herb,L48(I)AK(I)CAN(N),,,
Allium geyeri,"NA (L48, CAN)","CAN(AB, BC, SK), USA(AZ, CO, ID, MT, NM, NV, OR, SD, TX, UT, WA, WY)",Monocot,Perennial,Forb/herb,L48(N)CAN(N),,,
Allium geyeri var. chatterleyi,NA (L48),USA(UT),Monocot,Perennial,Forb/herb,L48(N),,,
Allium geyeri var. geyeri,"NA (L48, CAN)","CAN(AB, SK), USA(AZ, CO, ID, MT, NM, NV, OR, SD, TX, UT, WA, WY)",Monocot,Perennial,Forb/herb,L48(N)CAN(N),,,
Allium geyeri var. tenerum,"NA (L48, CAN)","CAN(AB, BC), USA(AZ, CO, ID, MT, NM, NV, OR, UT, WA, WY)",Monocot,Perennial,Forb/herb,L48(N)CAN(N),,,
Allium glandulosum,NA (L48),"USA(AZ, NM, TX)",Monocot,Perennial,Forb/herb,L48(N),,,
Allium gooddingii,NA (L48),"USA(AZ, NM)",Monocot,Perennial,Forb/herb,L48(N),,,
Allium haematochiton,NA (L48),USA(CA),Monocot,Perennial,Forb/herb,L48(N),,,
Allium hickmanii,NA (L48),USA(CA),Monocot,Perennial,Forb/herb,L48(N),,,
Allium hoffmanii,NA (L48),USA(CA),Monocot,Perennial,Forb/herb,L48(N),,,
Allium howellii,NA (L48),USA(CA),Monocot,Perennial,Forb/herb,L48(N),,,
Allium howellii var. clokeyi,NA (L48),USA(CA),Monocot,Perennial,Forb/herb,L48(N),,,
Allium howellii var. howellii,NA (L48),USA(CA),Monocot,Perennial,Forb/herb,L48(N),,,
Allium howellii var. sanbenitense,NA (L48),USA(CA),Monocot,Perennial,Forb/herb,L48(N),,,
Allium hyalinum,NA (L48),USA(CA),Monocot,Perennial,Forb/herb,L48(N),,,
Allium jepsonii,NA (L48),USA(CA),Monocot,Perennial,Forb/herb,L48(N),,,
Allium kunthii,NA (L48),"USA(AZ, NM, TX)",Monocot,Perennial,Forb/herb,L48(N),,,
Allium lacunosum,NA (L48),USA(CA),Monocot,Perennial,Forb/herb,L48(N),,,
Allium lacunosum var. davisiae,NA (L48),USA(CA),Monocot,Perennial,Forb/herb,L48(N),,,
Allium lacunosum var. kernense,NA (L48),USA(CA),Monocot,Perennial,Forb/herb,L48(N),,,
Allium lacunosum var. lacunosum,NA (L48),USA(CA),Monocot,Perennial,Forb/herb,L48(N),,,
Allium lacunosum var. micranthum,NA (L48),USA(CA),Monocot,Perennial,Forb/herb,L48(N),,,
Allium lemmonii,NA (L48),"USA(CA, ID, NV, OR, UT)",Monocot,Perennial,Forb/herb,L48(N),,,
Allium macropetalum,NA (L48),"USA(AZ, CO, NM, TX, UT)",Monocot,Perennial,Forb/herb,L48(N),,,
Allium macrum,NA (L48),"USA(OR, WA)",Monocot,Perennial,Forb/herb,L48(N),,,
Allium madidum,NA (L48),"USA(ID, OR)",Monocot,Perennial,Forb/herb,L48(N),,,
Allium membranaceum,NA (L48),USA(CA),Monocot,Perennial,Forb/herb,L48(N),,,
Allium moly,,,Monocot,,,,,,
Allium monticola,NA (L48),USA(CA),Monocot,Perennial,Forb/herb,L48(N),,,
Allium munzii,NA (L48),USA(CA),Monocot,Perennial,Forb/herb,L48(N),,,
Allium neapolitanum,NA (L48),"USA(AL, CA, FL, GA)",Monocot,Perennial,Forb/herb,L48(I),,,
Allium nevadense,NA (L48),"USA(AZ, CA, CO, ID, NV, OR, UT)",Monocot,Perennial,Forb/herb,L48(N),,,
Allium nevii,NA (L48),"USA(OR, WA)",Monocot,Perennial,Forb/herb,L48(N),,,
Allium nigrum,NA (L48),"USA(OR, WA)",Monocot,Perennial,Forb/herb,L48(I),,,
Allium obtusum,NA (L48),"USA(CA, NV)",Monocot,Perennial,Forb/herb,L48(N),,,
Allium obtusum var. conspicuum,NA (L48),USA(CA),Monocot,Perennial,Forb/herb,L48(N),,,
Allium obtusum var. obtusum,NA (L48),"USA(CA, NV)",Monocot,Perennial,Forb/herb,L48(N),,,
Allium odorum,,,Monocot,,,,,,
Allium oleraceum,"NA (L48, CAN)","CAN(ON), USA(KY, MA, NY, PA, VA)",Monocot,Perennial,Forb/herb,L48(I)CAN(W),,,
Allium oxyphilum,NA (L48),USA(WV),Monocot,Perennial,Forb/herb,L48(N),,,
Allium paniculatum,NA (L48),USA(CA),Monocot,Perennial,Forb/herb,L48(I),,,
Allium parishii,NA (L48),"USA(AZ, CA)",Monocot,Perennial,Forb/herb,L48(N),,,
Allium parryi,NA (L48),USA(CA),Monocot,Perennial,Forb/herb,L48(N),,,
Allium parvum,NA (L48),"USA(CA, ID, MT, NV, OR, UT)",Monocot,Perennial,Forb/herb,L48(N),,,
Allium passeyi,NA (L48),USA(UT),Monocot,Perennial,Forb/herb,L48(N),,,
Allium peninsulare,NA (L48),"USA(CA, OR)",Monocot,Perennial,Forb/herb,L48(N),,,
Allium peninsulare var. franciscanum,NA (L48),USA(CA),Monocot,Perennial,Forb/herb,L48(N),,,
Allium peninsulare var. peninsulare,NA (L48),"USA(CA, OR)",Monocot,Perennial,Forb/herb,L48(N),,,
Allium perdulce,NA (L48),"USA(IA, KS, NE, NM, OK, SD, TX)",Monocot,Perennial,Forb/herb,L48(N),,,
Allium perdulce var. perdulce,NA (L48),"USA(IA, KS, NE, NM, OK, SD, TX)",Monocot,Perennial,Forb/herb,L48(N),,,
Allium perdulce var. sperryi,NA (L48),USA(TX),Monocot,Perennial,Forb/herb,L48(N),,,
Allium platycaule,NA (L48),"USA(CA, NV, OR)",Monocot,Perennial,Forb/herb,L48(N),,,
Allium pleianthum,NA (L48),USA(OR),Monocot,Perennial,Forb/herb,L48(N),,,
Allium plummerae,NA (L48),USA(AZ),Monocot,Perennial,Forb/herb,L48(N),,,
Allium porrum,NA (L48),"USA(AR, IA, IL, KS, NY, OH, TX)",Monocot,Perennial,Forb/herb,L48(I),,,
Allium praecox,NA (L48),USA(CA),Monocot,Perennial,Forb/herb,L48(N),,,
Allium punctum,NA (L48),"USA(CA, NV, OR)",Monocot,Perennial,Forb/herb,L48(N),,,
Allium robinsonii,NA (L48),"USA(OR, WA)",Monocot,Perennial,Forb/herb,L48(N),,,
Allium runyonii,NA (L48),USA(TX),Monocot,Perennial,Forb/herb,L48(N),,,
Allium sanbornii,NA (L48),"USA(CA, OR)",Monocot,Perennial,Forb/herb,L48(N),,,
Allium sanbornii var. congdonii,NA (L48),USA(CA),Monocot,Perennial,Forb/herb,L48(N),,,
Allium sanbornii var. sanbornii,NA (L48),"USA(CA, OR)",Monocot,Perennial,Forb/herb,L48(N),,,
Allium sativum,"NA (L48, CAN)","CAN(MB, ON), USA(AL, AR, CA, CO, GA, IL, IN, KS, KY, LA, MA, MD, MI, MO, MS, NE, NY, OH, OK, PA, SC, TN, VA, VT, WI, WV)",Monocot,Perennial,Forb/herb,L48(I)CAN(I),,,
Allium schoenoprasum,"NA (L48, AK, CAN)","CAN(AB, BC, LB, MB, NB, NF, NS, NT, ON, QC, SK, YT), USA(AK, CO, CT, ID, IL, IN, MA, MD, ME, MI, MN, MO, MT, NH, NJ, NV, NY, OH, OR, PA, RI, UT, VA, VT, WA, WI, WY)",Monocot,Perennial,Forb/herb,"L48(I,N)AK(NI)CAN(NI)",,,
Allium schoenoprasum var. schoenoprasum,"NA (L48, AK, CAN)","CAN(NB, NF, ON, QC, SK), USA(AK, CT, ID, IL, IN, MA, OR, PA, RI, VT, WA, WI, WY)",Monocot,Perennial,Forb/herb,L48(I)AK(I)CAN(I),,,
Allium schoenoprasum var. sibiricum,"NA (L48, AK, CAN)","CAN(AB, BC, LB, MB, NB, NF, NS, NT, ON, QC, SK, YT), USA(AK, CO, CT, IL, MA, MD, ME, MI, MN, MO, MT, NH, NJ, NV, NY, OH, OR, PA, UT, VA, VT, WA)",Monocot,Perennial,Forb/herb,L48(N)AK(N)CAN(N),,,
Allium scilloides,NA (L48),USA(WA),Monocot,Perennial,Forb/herb,L48(N),,,
Allium scorodoprasum,NA (L48),USA(MI),Monocot,Perennial,Forb/herb,L48(I),,,
Allium scorodoprasum ssp. rotundum,NA (L48),USA(MI),Monocot,Perennial,Forb/herb,L48(I),,,
Allium serra,NA (L48),USA(CA),Monocot,Perennial,Forb/herb,L48(N),,,
Allium serratum,,,Monocot,,,,,,
Allium sharsmithiae,NA (L48),USA(CA),Monocot,Perennial,Forb/herb,L48(N),,,
Allium shevockii,NA (L48),USA(CA),Monocot,Perennial,Forb/herb,L48(N),,,
Allium simillimum,NA (L48),"USA(ID, MT)",Monocot,Perennial,Forb/herb,L48(N),,,
Allium siskiyouense,NA (L48),"USA(CA, OR)",Monocot,Perennial,Forb/herb,L48(N),,,
Allium speculae,NA (L48),"USA(AL, GA)",Monocot,Perennial,Forb/herb,L48(N),,,
Allium sphaerocephalon,NA (L48),USA(NY),Monocot,Perennial,Forb/herb,L48(I),,,
Allium stellatum,"NA (L48, CAN)","CAN(MB, ON, SK), USA(AR, IA, IL, IN, KS, MI, MN, MO, ND, OK, SD, TN, TX, WI, WY)",Monocot,Perennial,Forb/herb,L48(N)CAN(N),,,
Allium textile,"NA (L48, CAN)","CAN(AB, MB, SK), USA(CO, IA, ID, KS, MN, MT, ND, NE, NM, NV, SD, UT, WA, WY)",Monocot,Perennial,Forb/herb,L48(N)CAN(N),Spring,Slow,Mid Spring
Allium tolmiei,NA (L48),"USA(CA, ID, NV, OR, WA)",Monocot,Perennial,Forb/herb,L48(N),Spring,Slow,Early Spring
Allium tolmiei var. persimile,NA (L48),USA(ID),Monocot,Perennial,Forb/herb,L48(N),,,
Allium tolmiei var. platyphyllum,NA (L48),"USA(ID, OR)",Monocot,Perennial,Forb/herb,L48(N),,,
Allium tolmiei var. tolmiei,NA (L48),"USA(CA, ID, NV, OR, WA)",Monocot,Perennial,Forb/herb,L48(N),,,
Allium tribracteatum,NA (L48),USA(CA),Monocot,Perennial,Forb/herb,L48(N),,,
Allium tricoccum,"NA (L48, CAN)","CAN(MB, NB, NS, ON, QC), USA(AL, CT, DC, DE, GA, IA, IL, IN, KY, MA, MD, ME, MI, MN, MO, NC, ND, NH, NJ, NY, OH, OK, PA, RI, SD, TN, VA, VT, WI, WV)",Monocot,Perennial,Forb/herb,L48(N)CAN(N),,,
Allium triquetrum,NA (L48),"USA(CA, OR)",Monocot,Perennial,Forb/herb,L48(I),,,
Allium tuberosum,"NA (L48, GU, PB)","USA(IA, NE, OH, PW, WI)",Monocot,Perennial,Forb/herb,L48(I),,,
Allium tuolumnense,NA (L48),USA(CA),Monocot,Perennial,Forb/herb,L48(N),,,
Allium unifolium,NA (L48),"USA(CA, OR)",Monocot,Perennial,Forb/herb,L48(N),,,
Allium ursinum,,,Monocot,,,,,,
Allium validum,"NA (L48, CAN)","CAN(BC), USA(CA, ID, NV, OR, WA)",Monocot,Perennial,Forb/herb,L48(N)CAN(N),Summer,Slow,Late Spring
Allium victorialis,NA (AK),USA(AK),Monocot,Perennial,Forb/herb,AK(N),,,
Allium vineale,"NA (L48, AK, CAN)","CAN(BC, ON, QC), USA(AK, AL, AR, CA, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MO, MS, MT, NC, NE, NJ, NY, OH, OK, OR, PA, RI, SC, TN, VA, VT, WA, WI, WV)",Monocot,Perennial,Forb/herb,L48(I)AK(I)CAN(I),,,
Allium vineale ssp. compactum,NA (L48),"USA(MO, OK)",Monocot,Perennial,Forb/herb,L48(I),,,
Allium vineale ssp. kochii,,,Monocot,,,,,,
Allium vineale ssp. vineale,"NA (L48, AK, CAN)","CAN(BC, ON, QC), USA(AK, AL, AR, CA, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MO, MS, MT, NC, NE, NJ, NY, OH, OK, OR, PA, RI, SC, TN, VA, VT, WA, WI, WV)",Monocot,Perennial,Forb/herb,L48(I)AK(I)CAN(I),,,
Allium yosemitense,NA (L48),USA(CA),Monocot,Perennial,Forb/herb,L48(N),,,
Allocasuarina,,,Dicot,,,,,,
Allocasuarina acutivalvis,,,Dicot,,,,,,
Allocasuarina campestris,,,Dicot,,,,,,
Allocasuarina corniculata,,,Dicot,,,,,,
Allocasuarina distyla,,,Dicot,,,,,,
Allocasuarina humilis,,,Dicot,,,,,,
Allocasuarina lehmanniana,,,Dicot,,,,,,
Allocasuarina littoralis,,,Dicot,,,,,,
Allocasuarina luehmannii,,,Dicot,,,,,,
Allocasuarina nana,,,Dicot,,,,,,
Allocasuarina paludosa,,,Dicot,,,,,,
Allocasuarina pusilla,,,Dicot,,,,,,
Allocasuarina torulosa,,,Dicot,,,,,,
Allocasuarina verticillata,,,Dicot,,,,,,
Allocetraria,NA (L48),,Lichen,,,NA(N),,,
Allocetraria oaksiana,NA (L48),,Lichen,,Lichenous,NA(N),,,
Allolepis,NA (L48),USA(TX),Monocot,,,L48(N),,,
Allolepis texana,NA (L48),USA(TX),Monocot,Perennial,Graminoid,L48(N),,,
Allophyllum,NA (L48),"USA(AZ, CA, NV, OR, UT, WA)",Dicot,,,L48(N),,,
Allophyllum divaricatum,NA (L48),USA(CA),Dicot,Annual,Forb/herb,L48(N),,,
Allophyllum gilioides,NA (L48),"USA(AZ, CA, NV, OR, UT, WA)",Dicot,Annual,Forb/herb,L48(N),,,
Allophyllum gilioides ssp. gilioides,NA (L48),"USA(AZ, CA, NV, OR, UT, WA)",Dicot,Annual,Forb/herb,L48(N),,,
Allophyllum gilioides ssp. violaceum,NA (L48),"USA(CA, NV, UT)",Dicot,Annual,Forb/herb,L48(N),,,
Allophyllum glutinosum,NA (L48),USA(CA),Dicot,Annual,Forb/herb,L48(N),,,
Allophyllum integrifolium,NA (L48),"USA(CA, NV)",Dicot,Annual,Forb/herb,L48(N),,,
Allophylus,NA (PB),"USA+(PR, VI), USA(AS, FM, GU, MH, MP, PW)",Dicot,,,,,,
Allophylus crassinervis,PR,USA+(PR),Dicot,Perennial,"Tree, Shrub",PR(N),,,
Allophylus holophyllus,,,Dicot,Perennial,,,,,
Allophylus racemosus,"PR, VI","USA+(PR, VI)",Dicot,Perennial,"Shrub, Tree",PR(N)VI(N),,,
Allophylus ternatus,,USA(PW),Dicot,Perennial,"Tree, Shrub",L48(N),,,
Allophylus timorensis,,,Dicot,Perennial,"Tree, Shrub",,,,
Allophylus timoriensis,,"USA(AS, FM, GU, MH, MP, PW)",,Perennial,"Tree, Shrub",L48(N),,,
Allosidastrum,"PR, VI","USA+(PR, VI)",Dicot,,,,,,
Allosidastrum pyramidatum,"PR, VI","USA+(PR, VI)",Dicot,Perennial,"Subshrub, Shrub",PR(N)VI(N),,,
Alloteropsis,NA (L48),"USA(FL, MD, MS)",Monocot,,,L48(I),,,
Alloteropsis cimicina,NA (L48),"USA(FL, MD, MS)",Monocot,Annual,Graminoid,L48(I),,,
Allotropa,NA (L48),"CAN(BC), USA(CA, ID, MT, NV, OR, WA)",Dicot,,,L48(N)CAN(N),,,
Allotropa virgata,"NA (L48, CAN)","CAN(BC), USA(CA, ID, MT, NV, OR, WA)",Dicot,Perennial,Forb/herb,L48(N)CAN(N),,,
Allowissadula,NA (L48),"USA(NM, TX)",Dicot,,,L48(N),,,
Allowissadula holosericea,NA (L48),"USA(NM, TX)",Dicot,Perennial,"Subshrub, Shrub, Forb/herb",L48(N),,,
Allowissadula lozanii,NA (L48),USA(TX),Dicot,Perennial,"Subshrub, Forb/herb, Shrub",L48(N),,,
Almutaster,NA (L48),"CAN(AB, MB, NT, SK), USA(AZ, CA, CO, MT, ND, NM, NV, SD, UT, WY)",Dicot,,,L48(N)CAN(N),,,
Almutaster pauciflorus,"NA (L48, CAN)","CAN(AB, MB, NT, SK), USA(AZ, CA, CO, MT, ND, NM, NV, SD, UT, WY)",Dicot,Perennial,Forb/herb,L48(N)CAN(N),,,
Alnus,"GL (L48, GL)","CAN(AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), DEN(GL), FRA(SB), USA(AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, TN, TX, UT, VA, VT, WA, WI, WV, WY)",Dicot,,,"L48(I,N)CAN(I,N)GL(N)SPM(N)",,,
Alnus ×fallacina,NA (L48),"USA(NY, OH)",Dicot,Perennial,Tree,L48(N),,,
Alnus cordata,NA (L48),USA(CA),Dicot,Perennial,Tree,L48(I),,,
Alnus glutinosa,"NA (L48, CAN)","CAN(NS, ON), USA(CT, DC, DE, IA, IL, IN, KS, KY, MA, MI, MN, MO, MS, NJ, NY, OH, PA, TN, VA, VT, WI)",Dicot,Perennial,Tree,L48(I)CAN(I),Spring and Summer,,Mid Spring
Alnus incana,"NA (L48, AK, CAN, SPM)","CAN(AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), FRA(SB), USA(AK, AZ, CA, CO, CT, IA, ID, IL, IN, MA, MD, ME, MI, MN, MT, ND, NH, NJ, NM, NV, NY, OH, OR, PA, RI, UT, VA, VT, WA, WI, WV, WY)",Dicot,Perennial,"Tree, Shrub",L48(N)AK(N)CAN(N)SPM(N),Spring and Summer,,Spring
Alnus incana ssp. incana,,,Dicot,,,,,,
Alnus incana ssp. rugosa,"NA (L48, CAN, SPM)","CAN(LB, MB, NB, NF, NS, ON, PE, QC, SK), FRA(SB), USA(CT, IA, IL, IN, MA, MD, ME, MI, MN, ND, NH, NJ, NY, OH, PA, RI, VA, VT, WI, WV)",Dicot,Perennial,"Tree, Shrub",L48(N)CAN(N)SPM(N),Spring and Summer,,Early Spring
Alnus incana ssp. tenuifolia,"NA (L48, AK, CAN)","CAN(AB, BC, NT, SK, YT), USA(AK, AZ, CA, CO, ID, MT, NM, NV, OR, UT, WA, WY)",Dicot,Perennial,"Shrub, Tree",L48(N)AK(N)CAN(N),Spring and Summer,,Early Spring
Alnus japonica,,,Dicot,,,,,,
Alnus maritima,NA (L48),"USA(DE, GA, MD, OK)",Dicot,Perennial,"Tree, Shrub",L48(N),Spring and Summer,,Late Summer
Alnus nepalensis,HI,USA(HI),Dicot,Perennial,Tree,HI(I),,,
Alnus oblongifolia,NA (L48),"USA(AZ, NM)",Dicot,Perennial,Tree,L48(N),,,
Alnus pendula,,,Dicot,,,,,,
Alnus rhombifolia,NA (L48),"USA(CA, ID, MT, NV, OR, WA)",Dicot,Perennial,Tree,L48(N),Spring and Summer,,Fall
Alnus rubra,"NA (L48, AK, CAN)","CAN(BC), USA(AK, CA, ID, MT, OR, WA)",Dicot,Perennial,Tree,L48(N)AK(N)CAN(N),"Spring, Summer, Fall",,Early Spring
Alnus serrulata,"NA (L48, CAN)","CAN(NB, NS, QC), USA(AL, AR, CT, DC, DE, FL, GA, IL, IN, KS, KY, LA, MA, MD, ME, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WV)",Dicot,Perennial,"Tree, Shrub",L48(N)CAN(N),Spring and Summer,,Spring
Alnus trabeculosa,,,Dicot,,,,,,
Alnus viridis,"NA (L48, AK, CAN, GL, SPM)","CAN(AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), DEN(GL), FRA(SB), USA(AK, CA, ID, MA, ME, MI, MN, MT, NC, NH, NY, OR, PA, TN, VT, WA, WI, WY)",Dicot,Perennial,"Tree, Shrub",L48(N)AK(N)CAN(N)GL(N)SPM(N),,,
Alnus viridis ssp. crispa,"NA (L48, CAN, GL, SPM)","CAN(AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK), DEN(GL), FRA(SB), USA(AK, MA, ME, MI, MN, NC, NH, NY, PA, TN, VT, WI)",Dicot,Perennial,"Tree, Shrub",L48(N)CAN(N)GL(N)SPM(N),Spring and Summer,,Summer
Alnus viridis ssp. fruticosa,"NA (L48, AK, CAN)","CAN(AB, BC, NT, SK, YT), USA(AK, CA, OR, WA)",Dicot,Perennial,"Shrub, Tree",L48(N)AK(N)CAN(N),,,
Alnus viridis ssp. sinuata,"NA (L48, AK, CAN)","CAN(AB, BC, NT, YT), USA(AK, CA, ID, MT, OR, WA, WY)",Dicot,Perennial,"Shrub, Tree",L48(N)AK(N)CAN(N),Spring and Summer,,Summer
Alocasia,"NA (L48, PB)","USA+(PR), USA(FL, HI, PW, TX, UM)",Monocot,,,L48(I),,,
Alocasia brisbanensis,,,Monocot,,,,,,
Alocasia cucullata,"NA (GU, PB)","USA(PW, UM)",Monocot,,,L48(I),,,
Alocasia macrorrhizos,"NA (L48, GU, PB), HI, PR","USA+(PR), USA(FL, HI, PW, TX, UM)",Monocot,Perennial,Forb/herb,L48(I)HI(I)PR(I),,,
Alocasia macrorrhizos var. rubra,,,Monocot,Perennial,Forb/herb,,,,
Alocasia odora,NA (L48),USA(FL),Monocot,Perennial,Forb/herb,L48(I),,,
Alocasia plumbea,PR,USA+(PR),Monocot,Perennial,Forb/herb,PR(I),,,
Aloe,"NA (L48, PB)","USA+(PR, VI), USA(CA, FL, HI, PW, TX)",Monocot,,,L48(I),,,
Aloe ×schoenlandi,NA (L48),USA(CA),Monocot,Perennial,Forb/herb,L48(I),,,
Aloe arborescens,,USA(PW),Monocot,,,L48(I),,,
Aloe ferox,,,Monocot,,,,,,
Aloe graminicola,,,Monocot,,,,,,
Aloe perryi,,,Monocot,,,,,,
Aloe secundiflora,,,Monocot,,,,,,
Aloe succotrina,,,Monocot,,,,,,
Aloe vera,"NA (L48), HI, PR, VI","USA+(PR, VI), USA(FL, HI, TX)",Monocot,Perennial,Forb/herb,L48(I)HI(I)PR(I)VI(I),,,
Aloina,NA (L48),,Moss,,,NA(N),,,
Aloina aloides,NA (L48),,Moss,,Nonvascular,NA(N),,,
Aloina aloides var. ambigua,NA (L48),,Moss,,Nonvascular,NA(N),,,
Aloina bifrons,NA (L48),,Moss,,Nonvascular,NA(N),,,
Aloina brevirostris,NA (L48),,Moss,,Nonvascular,NA(N),,,
Aloina hamulus,NA (L48),,Moss,,Nonvascular,NA(N),,,
Aloina rigida,NA (L48),,Moss,,Nonvascular,NA(N),,,
Alopecurus,"GL (L48, GL)","CAN(AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), DEN(GL), FRA(SB), USA(AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)",Monocot,,,"L48(I,N)GL(I,N)SPM(I)",,,
Alopecurus ×haussknechtianus,NA (CAN),"CAN(AB, SK)",Monocot,Perennial,Graminoid,CAN(N)NA(N),,,
Alopecurus aequalis,"NA (L48, AK, CAN, GL)","CAN(AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), DEN(GL), USA(AK, AZ, CA, CO, CT, DE, IA, ID, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MT, ND, NE, NH, NJ, NM, NV, NY, OH, OR, PA, SD, TN, UT, VA, VT, WA, WI, WY)",Monocot,Perennial,Graminoid,L48(N)AK(N)CAN(N)GL(N),Spring and Summer,Moderate,Mid Spring
Alopecurus aequalis var. aequalis,"NA (L48, AK, CAN, GL)","CAN(AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), DEN(GL), USA(AK, AZ, CA, CO, CT, DE, IA, ID, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MT, ND, NE, NH, NJ, NM, NV, NY, OH, OR, PA, SD, TN, UT, VA, VT, WA, WI, WY)",Monocot,Perennial,Graminoid,L48(N)AK(N)CAN(N)GL(N),,,
Alopecurus aequalis var. sonomensis,NA (L48),USA(CA),Monocot,Perennial,Graminoid,L48(N),,,
Alopecurus arundinaceus,"NA (L48, CAN)","CAN(AB, MB, NF, NT), USA(AZ, CO, ID, KY, MT, ND, NE, SD, UT, WA, WY)",Monocot,Perennial,Graminoid,L48(I)CAN(W),Spring and Summer,Rapid,Spring
Alopecurus brachystachus,,,Monocot,,Graminoid,,,,
Alopecurus bulbosus,,,Monocot,,Graminoid,,,,
Alopecurus carolinianus,"NA (L48, CAN)","CAN(AB, BC, SK), USA(AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, MT, NC, ND, NE, NJ, NM, NY, OH, OK, OR, PA, SC, SD, TN, TX, UT, VA, WA, WI, WV, WY)",Monocot,Annual,Graminoid,L48(N)CAN(N),Spring,Slow,Spring
Alopecurus creticus,NA (L48),USA(PA),Monocot,Annual,Graminoid,L48(I),,,
